rep,k,n_lambda,mu,sigma,min_size,filename,maxima,maxvals,loc,scale,shape,gev_max
5,100,30,20,6.8,10,rep5_k100_lambda30_mu20,,,32.93584503996263,3.3764527122974424,-0.2546593811019415,42.475819410249514
6,20,30,20,6.8,10,rep6_k20_lambda30_mu20,,,32.5968039049279,3.6301360986111213,-0.1576142105245491,42.26121897859156
6,100,200,20,6.8,10,rep6_k100_lambda200_mu20,,,37.88861824277419,2.4005022306032,-0.19201631787329573,45.633876378757876
7,20,200,20,6.8,10,rep7_k20_lambda200_mu20,,,38.70612606049628,2.8809381117896335,-0.08284446867690157,47.48157684272133
7,100,10000,20,6.8,10,rep7_k100_lambda10000_mu20,,,45.75776856323342,1.7112407944722021,-0.04002254944760298,53.72754060055676
8,30,50,20,6.8,10,rep8_k30_lambda50_mu20,,,34.60456597056274,2.8040188925431426,-0.06419110188434678,44.34207040576605
9,10,2000,20,6.8,10,rep9_k10_lambda2000_mu20,,,42.056270525645914,1.9836010651201235,0.028582311065363145,48.055391611696756
9,100,30,20,6.8,10,rep9_k100_lambda30_mu20,,,32.48083073738397,2.8149428425577097,-0.10710338036259072,43.54189760553576
10,10,2000,20,6.8,10,rep10_k10_lambda2000_mu20,,,42.852191992882176,2.0728214309575765,-0.36342670703831076,46.35374638970828
10,100,30,20,6.8,10,rep10_k100_lambda30_mu20,,,32.92174743107425,2.8863090917180463,-0.1704313147141763,42.7010143438714
1,10,2000,50,17,10,rep1_k10_lambda2000_mu50,,,112.20047018686347,5.806602396085274,-0.4021594771099119,121.56128206604282
1,100,30,50,17,10,rep1_k100_lambda30_mu50,,,80.71822432625247,7.8825537205940215,-0.18207333534288075,106.71807925021075
2,20,30,50,17,10,rep2_k20_lambda30_mu50,,,82.32698488367566,8.085654831808007,-0.18980095798484886,102.72251850428016
2,100,200,50,17,10,rep2_k100_lambda200_mu50,,,93.23321992845162,6.350394781373514,-0.08428072518389747,119.64743423651856
3,10,2000,50,17,10,rep3_k10_lambda2000_mu50,,,106.41490701832767,2.46604921779274,-0.12729039946223003,112.20339585960505
3,100,30,50,17,10,rep3_k100_lambda30_mu50,,,80.07669535494752,7.426760723093149,-0.09504189408859748,110.12348011400542
4,10,50,50,17,10,rep4_k10_lambda50_mu50,,,81.12982183650128,6.269265147574773,-0.2685418551935452,93.11465225570008
4,30,2000,50,17,10,rep4_k30_lambda2000_mu50,,,106.94140157344765,4.728511973829866,0.008317770532134927,126.09135291676596
5,10,50,50,17,10,rep5_k10_lambda50_mu50,,,84.69824920284951,4.788123465979841,-0.29200947118993337,93.5632051855614
5,30,2000,50,17,10,rep5_k30_lambda2000_mu50,,,104.50721502290456,4.066121209876948,0.061657268564605995,123.14960330999303
6,10,2000,50,17,10,rep6_k10_lambda2000_mu50,,,102.87283898934726,2.641511918212978,0.28575674274742335,116.39185207984052
6,100,30,50,17,10,rep6_k100_lambda30_mu50,,,82.08862473495269,9.153123161132614,-0.2960474645613013,105.9052256943315
7,10,2000,50,17,10,rep7_k10_lambda2000_mu50,,,103.9128648642589,5.214842696542714,-0.2260647721142784,114.4643790787972
7,100,30,50,17,10,rep7_k100_lambda30_mu50,,,79.78065391120828,7.307837860912341,-0.14728083389832913,105.89724365559807
8,20,30,50,17,10,rep8_k20_lambda30_mu50,,,81.38589148431825,5.915194278791204,-0.03873507300256489,100.95025870238102
8,100,200,50,17,10,rep8_k100_lambda200_mu50,,,93.27385749844828,5.253375406106608,-0.0298417155309448,118.3881712739439
9,20,30,50,17,10,rep9_k20_lambda30_mu50,,,84.44164814863049,8.614986804541548,-0.3299455066660691,101.87996727012481
9,100,200,50,17,10,rep9_k100_lambda200_mu50,,,93.96313588934325,5.51070201260979,-0.015160213419634107,121.35412581255518
10,20,30,50,17,10,rep10_k20_lambda30_mu50,,,84.67296211508993,9.155946719247064,-0.22302489906738002,106.51434716455039
10,100,200,50,17,10,rep10_k100_lambda200_mu50,,,94.38134062425998,5.931658286102189,-0.0912389295297946,118.61317625609014
