rep,k,n_lambda,mu,sigma,min_size,filename,maxima,maxvals,loc,scale,shape,loc_se,scale_se,shape_se
7,3,50,20,6.8,10,rep7_k3_lambda50_mu20,,,34.80831495757113,1.757988832910599,-1.529493860473676,1.9999998531380864e-6,1.9999999998283017e-6,1.9999999491940803e-6
7,3,2000,20,6.8,10,rep7_k3_lambda2000_mu20,,,NA,NA,NA,NA,NA,NA
7,5,30,20,6.8,10,rep7_k5_lambda30_mu20,,,35.15102223090066,1.5627592237920178,-0.40014731056780967,0.8047879593215611,0.6152736651569851,0.4353017471644278
7,5,200,20,6.8,10,rep7_k5_lambda200_mu20,,,NA,NA,NA,NA,NA,NA
7,5,10000,20,6.8,10,rep7_k5_lambda10000_mu20,,,NA,NA,NA,NA,NA,NA
7,10,50,20,6.8,10,rep7_k10_lambda50_mu20,,,34.629636253873876,2.9671382573545535,-0.013129302344836244,1.1164528363566069,0.8434373684693486,0.3243389057548535
7,10,2000,20,6.8,10,rep7_k10_lambda2000_mu20,,,42.090033370921574,1.1975204713484122,0.4355853847305228,0.47861857587879775,0.43891484088203636,0.43655856226600015
7,20,30,20,6.8,10,rep7_k20_lambda30_mu20,,,32.54791873225985,2.4444057455782424,-0.34978540448891526,0.6491684178118321,0.5107051520000973,0.24893629709605286
7,20,200,20,6.8,10,rep7_k20_lambda200_mu20,,,38.70612606049628,2.8809381117896335,-0.08284446867690157,0.7836999846674371,0.5983907304347219,0.25835828078894074
7,20,10000,20,6.8,10,rep7_k20_lambda10000_mu20,,,45.25045826868711,1.342643516968681,-0.13798273319429274,0.33543951130388383,0.23545144129590556,0.15659432519468597
7,30,50,20,6.8,10,rep7_k30_lambda50_mu20,,,34.26832570149342,3.0527822274293226,-0.2658909677505327,0.6123593142219053,0.42171379948599397,0.11136646571421481
7,30,2000,20,6.8,10,rep7_k30_lambda2000_mu20,,,42.78672374613407,1.6479256480661781,-0.40946852323332195,0.3332099796040931,0.2493669715338139,0.13403889398228994
7,100,30,20,6.8,10,rep7_k100_lambda30_mu20,,,32.63301252161995,3.5276533364231217,-0.19493325870507944,0.39051199662264513,0.2713634483752203,0.06446692481761637
7,100,200,20,6.8,10,rep7_k100_lambda200_mu20,,,38.166623742485065,2.373687248867818,-0.11128418262591283,0.26136241364207996,0.17969833908648383,0.05980307799546466
7,100,10000,20,6.8,10,rep7_k100_lambda10000_mu20,,,45.75776856323342,1.7112407944722021,-0.04002254944760298,0.1955199660113965,0.14264134769374467,0.08156512007058166
8,3,50,20,6.8,10,rep8_k3_lambda50_mu20,,,35.4321907351474,1.835387672662979,-1.1715474583612773,0.012776824323928904,0.007532240015617542,0.0030240759084919876
8,3,2000,20,6.8,10,rep8_k3_lambda2000_mu20,,,42.248805872010585,3.4805898562737134,-1.4643496016178754,2.000003017956837e-6,2.000003126744761e-6,2.0000028694847244e-6
