filename,k,loc,scale,shape,gev_max
rep51_k30_lambda2000_mu20,30,42.50763341690402,1.9016625907341407,-0.3422642293153778,46.329130362922214
rep51_k30_lambda2000_mu50,30,106.30978142047343,5.553263267552551,-0.2909808047166392,118.30076540314795
rep51_k30_lambda2000_mu100,30,210.2018710063607,9.217077059047623,-0.015418712777840718,240.7431461251889
rep51_k30_lambda10000_mu20,30,45.732895024558815,1.515234684492245,-0.465473564118946,48.31976819834411
rep51_k30_lambda10000_mu50,30,113.07248993383351,4.175979440608383,0.08385860851021629,129.50848264226985
rep51_k30_lambda10000_mu100,30,224.3416845333055,8.912484346283605,0.013589513522305967,255.3662675814746
rep51_k100_lambda30_mu20,100,32.45796785246783,3.108878849292819,-0.14707975611237487,42.858126840184696
rep51_k100_lambda30_mu50,100,81.3835139162909,8.050911494155974,-0.09125237936882212,111.65468836299884
rep51_k100_lambda30_mu100,100,161.36547119865423,13.575342164866237,-0.06701100450199766,215.15619429278559
rep51_k100_lambda50_mu20,100,33.81568142995721,2.7291157604429164,-0.1247265992197197,43.37649451646912
rep51_k100_lambda50_mu50,100,85.58379923471718,7.928782609560373,-0.11974956186390305,113.65053561122751
rep51_k100_lambda50_mu100,100,172.88534191271913,12.690328566439453,-0.00752519784926422,230.3254283700949
rep51_k100_lambda200_mu20,100,37.38275800232117,2.2561453070244517,-0.059422008435612336,46.472361939432865
rep51_k100_lambda200_mu50,100,94.11241898055808,6.07149572856977,-0.04026059038570089,119.63371111971986
rep51_k100_lambda200_mu100,100,190.11128830288533,12.334583529305132,-0.07074869158248585,238.58883923570968
rep51_k100_lambda2000_mu20,100,42.62908248623966,1.722692208657213,-0.0407394058857883,49.86261960481705
rep51_k100_lambda2000_mu50,100,105.22884912411192,4.3048464787408784,0.03755014510917722,126.87070374832615
rep51_k100_lambda2000_mu100,100,211.5417581549579,8.642816589245493,-0.016729801955728367,249.84879719392103
rep51_k100_lambda10000_mu20,100,45.359821576972124,1.7161663851270117,0.02789027581521088,53.79304930335878
rep51_k100_lambda10000_mu50,100,113.33482170782491,4.569963854080401,-0.04470192450094696,132.35537366975862
rep51_k100_lambda10000_mu100,100,226.66119669751473,8.904074945984863,-0.06434576116699534,262.14878591343995
rep52_k3_lambda30_mu20,3,32.69088485536445,5.79793645750471,-1.678375288148926,35.598871161907056
rep52_k3_lambda10000_mu50,3,116.23719673578108,6.757582220545995,-1.319220306894965,120.15721121088625
rep52_k3_lambda10000_mu100,3,234.92268352436264,11.49619829606179,-1.4811995103682596,241.15923831036574
