ns,ss,rep,loc,scale,shape
200,100,9,87.82785381171237,6.2824456747067865,-0.12038551810036015
200,200,5,93.61277263306707,6.050893399932449,-0.2142808403329842
200,500,1,97.68801345342052,5.583186014945416,-0.10307702656550212
200,500,7,97.95940966761961,5.069677584277212,-0.049081096673434174
200,1000,3,101.18629901182368,4.74178716670133,-0.08105300495925383
200,1000,9,101.0505574956649,5.177549897158324,-0.0066241083542989574
200,2000,5,105.23461295411919,4.756450897775864,-0.18920748113930538
200,5000,1,109.20328527580705,4.978439206359189,0.01566511113030583
200,5000,7,109.06011110219941,4.222027490101679,0.0046056290965836655
200,10000,3,112.16844128129263,4.223475669756236,-0.14479668133656812
200,10000,9,112.29796028882879,4.1884291288984095,-0.06535774297643177
500,10,5,72.18817529998957,8.487258549998899,-0.18753238792502955
500,20,1,76.95304302266227,7.992230644414787,-0.12161613804601734
500,20,7,77.87458741282924,8.24827250748258,-0.17366495697260947
500,50,3,84.70005586918691,6.922947596100287,-0.15406882512361225
500,50,9,84.03429644496327,6.537451220460562,-0.07432624534836396
500,100,5,88.91623651191586,6.5263335432972,-0.06005181048569864
500,200,1,93.16116609325296,5.892980830512836,-0.11958422068746408
500,200,7,93.42524555043514,5.997981143778152,-0.13467167900741642
500,500,3,97.46456339689823,5.159869785889956,-0.022193406139586005
500,500,9,97.66650292094577,5.074108441465802,-0.08055243413027086
500,1000,5,101.6495189360328,4.884249339216257,-0.09945152407182879
500,2000,1,104.64503430660501,4.50676803390421,-0.10017012885342214
500,2000,7,105.07676051618154,4.923370001962838,-0.07005142138004614
500,5000,3,108.75231379948823,4.355654996006017,0.01356247454711155
500,5000,9,109.09535278790408,4.413017648434282,-0.07795673743441761
500,10000,5,111.9334110279792,4.1401455218502345,-0.051264622892228356
1000,10,1,71.52264303384679,8.891194975996617,-0.1415409774796156
1000,10,7,71.93340119454338,8.629435409282893,-0.15053012789196363
1000,20,3,77.86398942876497,8.062120341369079,-0.1513318887391563
1000,20,9,77.4585552178041,8.000306158263886,-0.09799993567989589
1000,50,5,83.85560098039208,6.898076020430569,-0.08190406673503399
1000,100,1,88.7973505546468,6.365481562499286,-0.14835730775191192
1000,100,7,89.43409278249523,6.097255710903247,-0.10144691529054116
1000,200,3,92.89275070985323,5.979826994290557,-0.1200937317015575
1000,200,9,93.00553728555211,5.679936773465754,-0.12043139959425726
1000,500,5,97.61549139540193,5.108813886478292,-0.07247981536203253
1000,1000,1,101.77774447147551,4.934886035564018,-0.09644137965430968
1000,1000,7,101.24187571533213,5.003705862738274,-0.05547997444321252
1000,2000,3,105.16571408243654,4.586564819685005,-0.03793331518506738
1000,2000,9,104.44915405956912,4.511656341115279,-0.05723086159886781
1000,5000,5,108.99592110530216,4.3981317600477094,-0.029692174975939532
1000,10000,1,112.46536175855498,4.352398545183398,-0.11689678077914428
1000,10000,7,112.17372027909012,4.3568619903292145,-0.09125194466389072
2000,10,3,72.10815731823288,9.107499248215706,-0.1631194307980382
2000,10,9,72.13915081469912,8.733778271043477,-0.1542696338224983
