filename,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,rep,k,n_lambda,mu,sigma,min_size
rep4_k20_lambda2000_mu100,mu,126.83874755,127.1445,9.15825802678983,9.1424529,111.22265,141.2868,1.00190700520173,1432.69175757911,1658.98539728047,4,20,2000,100,34,10
rep4_k20_lambda2000_mu100,sigma,28.91818295,28.9256,3.04075635932879,3.05200623,24.025935,34.000865,1.00188664109054,1412.53770131142,1599.37121241173,4,20,2000,100,34,10
rep4_k20_lambda2000_mu100,lambda,518.65372025,514.377,72.745094140893,72.6577781999999,403.37015,640.704,1.00040410554305,1554.42177404507,1473.60065878921,4,20,2000,100,34,10
rep4_k20_lambda2000_mu20,lp__,225.303985,225.6875,1.44100559785806,1.08600449999998,222.5366,226.787,1.00355149699755,958.035515622605,877.67187801273,4,20,2000,20,6.8,10
rep4_k20_lambda2000_mu20,mu,26.85947395,27.2835,2.90973788008458,2.63665584,21.551095,30.783745,1.0049564140298,790.888348534429,616.154574186635,4,20,2000,20,6.8,10
rep4_k20_lambda2000_mu20,sigma,5.3848143275,5.24013,1.00207111285517,0.909011712,4.0332915,7.2035595,1.00580779606459,768.66346890734,592.595345931376,4,20,2000,20,6.8,10
rep4_k20_lambda2000_mu20,lambda,499.72671175,498.5245,72.3119194557924,73.2715746,382.9513,620.8909,1.00354004674773,1547.15089074096,1407.51370974211,4,20,2000,20,6.8,10
rep4_k20_lambda2000_mu50,lp__,206.83827025,207.155,1.22118873098883,1.02521790000001,204.3869,208.202,1.00222505819747,1392.85637494217,1798.27473475065,4,20,2000,50,17,10
rep4_k20_lambda2000_mu50,mu,67.03935705,67.56535,6.28972247256751,6.23714994000001,55.80931,76.31247,1.00319617438325,1058.34276726192,1091.1971369611,4,20,2000,50,17,10
rep4_k20_lambda2000_mu50,sigma,13.6980326175,13.49655,2.16532232369097,2.14220874,10.5049,17.588145,1.00326920304443,1057.70913289629,1118.94112205445,4,20,2000,50,17,10
rep4_k20_lambda2000_mu50,lambda,505.59324775,503.6405,71.5988877233032,71.7541335000001,393.6156,627.2775,1.00310910632742,1547.80602624202,1283.29143417061,4,20,2000,50,17,10
rep4_k20_lambda30_mu100,lp__,173.31489675,173.65,1.31384091905359,1.01187450000001,170.8758,174.68005,1.00167000639385,1391.44511521521,1749.74015379388,4,20,30,100,34,10
rep4_k20_lambda30_mu100,mu,67.45054005,67.79015,7.50019518074152,7.27244952000001,54.426625,79.111695,1.00084720803235,1531.49074468773,1450.62520414003,4,20,30,100,34,10
rep4_k20_lambda30_mu100,sigma,30.89058725,30.7702,2.53988009169773,2.50122033,26.86039,35.18676,1.0008779169274,1531.02555565037,1590.57510297073,4,20,30,100,34,10
rep4_k20_lambda30_mu100,lambda,489.54800425,486.8795,68.8160056536687,69.0758166,381.77855,606.88325,1.00203177732381,2162.21393499274,1763.4725423478,4,20,30,100,34,10
rep4_k20_lambda30_mu20,lp__,213.51275075,213.8455,1.37534516856955,1.1556867,210.8337,215.06605,1.00446483110739,886.638439645668,812.367385267532,4,20,30,20,6.8,10
rep4_k20_lambda30_mu20,mu,7.745176590175,7.80313,3.33001906258172,3.474828924,1.9882875,13.0822,1.01073788344398,346.538634127297,197.586421535569,4,20,30,20,6.8,10
rep4_k20_lambda30_mu20,sigma,8.17964876,8.15542,1.16445918344169,1.257963861,6.329232,10.183805,1.01062485816967,348.924502172558,164.227426400078,4,20,30,20,6.8,10
rep4_k20_lambda30_mu20,lambda,498.63154475,498.5545,71.8573683421037,72.2419089,381.37965,621.0378,1.00356571210986,1105.97752066599,730.558530028346,4,20,30,20,6.8,10
rep4_k20_lambda30_mu50,lp__,196.5942795,196.887,1.21226099275626,1.02595920000001,194.12915,197.93705,1.00249761884429,1237.38749038089,1397.90801411335,4,20,30,50,17,10
rep4_k20_lambda30_mu50,mu,28.2851882625,28.7894,6.22845319323697,6.24011514,17.343795,37.94727,1.0038071645892,1292.85923336111,1422.77797940293,4,20,30,50,17,10
rep4_k20_lambda30_mu50,sigma,18.360547925,18.1971,2.15445600855155,2.13383205,15.064045,22.10413,1.00438027423382,1344.55364609801,1444.75395477837,4,20,30,50,17,10
rep4_k20_lambda30_mu50,lambda,493.69176775,490.7595,66.6391119387654,68.5620957,389.62275,606.9734,1.0013862300177,1951.42346236837,1959.16385563088,4,20,30,50,17,10
rep4_k20_lambda50_mu100,lp__,173.0449105,173.353,1.23106243877871,0.990376799999967,170.6386,174.36405,1.00091402908683,1455.23633886622,1819.79411318127,4,20,50,100,34,10
rep4_k20_lambda50_mu100,mu,73.9495797,74.1562,7.73395422851274,7.79232320999998,60.81529,86.492805,1.00110663552131,1326.28756745365,1468.82167912227,4,20,50,100,34,10
rep4_k20_lambda50_mu100,sigma,30.583080825,30.5088,2.62977919262441,2.68639707,26.333925,35.013415,1.00262826763881,1333.33525446949,1612.74480038445,4,20,50,100,34,10
rep4_k20_lambda50_mu100,lambda,495.859114,492.9605,68.4596009933819,69.6822,389.228,611.5433,1.00300362366136,1779.58664195193,1770.03429385612,4,20,50,100,34,10
rep4_k20_lambda50_mu20,lp__,214.17548775,214.5235,1.35275314419048,1.11194999999998,211.367,215.647,1.00313240002252,853.491553087892,992.824346899268,4,20,50,20,6.8,10
rep4_k20_lambda50_mu20,mu,8.6694414324,8.89993,3.29597857712696,3.497883354,2.838533,13.78482,1.00385272398168,733.394128008846,604.851268734444,4,20,50,20,6.8,10
rep4_k20_lambda50_mu20,sigma,8.532271245,8.44008,1.16592725000886,1.215227916,6.7628915,10.59364,1.00504089041697,729.038913274034,592.511169284456,4,20,50,20,6.8,10
rep4_k20_lambda50_mu20,lambda,498.3197005,494.0885,68.3461940422458,68.4160596,394.4908,618.93235,1.00247703256724,1146.44373522415,1004.88018242133,4,20,50,20,6.8,10
rep4_k20_lambda50_mu50,lp__,199.576769,199.912,1.27514497619548,1.02521790000001,197.0565,200.92,1.00402443044585,1228.22069577342,1387.17084142099,4,20,50,50,17,10
rep4_k20_lambda50_mu50,mu,37.3798052,37.8821,6.30912951637518,6.14248593,25.8558,46.83214,1.0038493578936,1065.09880022854,877.377178886439,4,20,50,50,17,10
rep4_k20_lambda50_mu50,sigma,16.755237875,16.5994,2.18612296040216,2.12686383,13.466855,20.72838,1.00340057702944,1060.0774395319,887.768031679714,4,20,50,50,17,10
rep4_k20_lambda50_mu50,lambda,502.23073625,499.5625,71.8393770574097,73.4954472,389.247,622.933,1.00191809777354,1757.99862598604,1527.25547075771,4,20,50,50,17,10
rep4_k3_lambda10000_mu100,lp__,234.30820625,234.6515,1.26363190293197,1.0200288,231.7606,235.66605,1.00150949769068,1661.5758317199,1860.56945974634,4,3,10000,100,34,10
rep4_k3_lambda10000_mu100,mu,126.5366985,126.946,15.0038763827227,15.2440932,100.9138,149.7315,1.00066969947175,1307.43885386802,1481.29933613185,4,3,10000,100,34,10
rep4_k3_lambda10000_mu100,sigma,30.36547435,30.34175,3.79314526646162,3.79152710999999,24.12165,36.579105,1.0014176422735,1275.82963713818,1267.92331439353,4,3,10000,100,34,10
rep4_k3_lambda10000_mu100,lambda,521.597235,517.7365,71.2516040633765,68.9327457,410.6603,643.35595,1.00082003213966,2201.5682132076,2318.01021629053,4,3,10000,100,34,10
rep4_k3_lambda10000_mu20,lp__,258.0216655,258.404,1.422107652273,1.13196509999999,255.13655,259.55205,1.01280024930742,617.048127203815,520.351071598313,4,3,10000,20,6.8,10
rep4_k3_lambda10000_mu20,mu,20.988749968175,21.95225,7.64974912956641,8.07290526,6.5417825,32.071305,1.0360760357555,212.85074264998,273.743518772624,4,3,10000,20,6.8,10
rep4_k3_lambda10000_mu20,sigma,7.97469379,7.658965,2.63229339483067,2.818518969,4.1606485,12.89301,1.03657301562009,213.762179656964,202.421675877843,4,3,10000,20,6.8,10
rep4_k3_lambda10000_mu20,lambda,500.49874425,500.2735,69.3702927356833,68.4079053,388.79945,622.462,1.00284666228649,898.338004220631,650.443952131852,4,3,10000,20,6.8,10
