variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,lambda_alpha,lambda_beta
est_max,96.7035058875,96.70975,1.903714693490956,1.9072907699999924,93.56648,99.836395,1.0004544509629798,5543.767288664578,5497.039305456531,50,0.005
lp__,462.662294125,463.00649999999996,1.3257538375468527,1.0845218999999744,460.013,464.104,1.00270060550148,1901.28931287574,1244.2200714796888,50,5e-4
mu,2.69954151587375,2.0424550000000004,2.4074733445423884,2.0760729192,0.15001599999999998,7.5079,1.006276101635961,685.375802974103,276.7626131248693,50,5e-4
sigma,21.75539075,21.85705,0.7362293333964334,0.6644271900000001,20.40164,22.775134999999995,1.0059271077696725,570.4398810309445,267.5545385712514,50,5e-4
lambda,91885.5741125,91453.25,13675.400665420048,13703.523540000002,70534.88,115534.20000000001,1.0010077333761942,1830.7074504768327,2142.6931900928234,50,5e-4
est_max,95.007638125,95.04159999999999,1.5104725180543535,1.5198132599999923,92.453,97.43245,1.0010404568219102,3261.04340923556,3104.4667439704294,50,5e-4
lp__,1756.40469375,1756.72,1.279973807477877,1.0229940000000808,1753.9395,1757.77,1.0021073703240522,2823.8580821516543,3411.3822698191625,500,5
mu,45.2551260125,45.752300000000005,6.5297234920929075,6.521957400000011,33.972885000000005,55.19607499999999,1.0006518881463133,2777.140570450623,2594.0233868722016,500,5
sigma,23.067613825,22.893549999999998,2.663659381577157,2.628798059999999,18.9213,27.631924999999995,1.0006900610887932,2773.597114975225,3083.5294366086364,500,5
lambda,99.8705177125,99.82175000000001,4.342661570912469,4.344759300000003,92.99062,107.07515000000001,1.0005503139934382,4055.7080697322863,4071.453940122704,500,5
est_max,98.900005475,98.94335000000001,2.742816633953309,2.7139734300000034,94.39877,103.32639999999999,1.0019836873547996,8738.708131050536,5743.526196526585,500,5
lp__,2904.11647875,2904.47,1.3411523774392224,1.0674720000003775,2901.4595,2905.54,1.0022321587608862,1875.085188046292,1725.1409171254597,500,0.5
mu,20.5720868312875,20.953699999999998,7.088350505803215,7.341983460000002,8.3662095,31.74455499999999,1.0020510903575799,1712.6280874859349,1469.1302278584071,500,0.5
sigma,25.0063324,24.87565,2.37003500791393,2.41263498,21.274875,29.0992,1.0018148170760595,1788.3348605108838,1617.5052004898928,500,0.5
lambda,995.374695875,995.1385,43.64452869641021,44.02803089999985,924.4415499999999,1068.0049999999999,1.0006685255919652,3208.611762734412,3119.9427068265995,500,0.5
est_max,97.8053408,97.7854,2.2901472173874593,2.292099599999999,94.05349000000001,101.56305,1.0009919396100153,8705.192334029594,6116.898099181502,500,0.5
lp__,4050.0744275,4050.4449999999997,1.3524469717313026,1.0600590000002157,4047.33,4051.5,1.0009377683094316,1436.6543516758002,1284.5004282297298,500,0.05
mu,6.51878716694375,5.74563,4.552068949237971,4.709627159999999,0.6156239000000002,14.92654999999997,1.007295895361523,402.02521167601554,263.1528321578901,500,0.05
sigma,24.24951585,24.41065,1.357617158095305,1.3809677699999998,21.8094,26.152514999999998,1.0082263811073242,402.5390335629607,244.50715504431216,500,0.05
lambda,9938.2015025,9936.575,456.0366981326425,442.0964939999994,9161.1225,10701.515,1.0017820865470897,1403.710695301434,687.842263752188,500,0.05
est_max,96.6591378,96.6986,1.8705621249958777,1.8496176299999951,93.56268,99.67619,1.0012796558664698,3534.7392206527675,4513.440404076009,500,0.05
lp__,5193.45975125,5193.78,1.207555340082124,0.9785159999997842,5191.09,5194.79,1.000509920283717,2469.9374442697895,3072.7738620399687,500,0.005
mu,2.443417524760375,1.94102,2.017025163626751,1.8815817446999998,0.1452512,6.52666,1.0019716815838127,1408.6616305016587,1484.6268203972836,500,0.005
sigma,21.713443475,21.7913,0.5982509860022848,0.5754711900000019,20.58937,22.57411,1.0023742863423957,1459.4627491480016,1087.898288324671,500,0.005
lambda,99057.638725,99085.25,4311.782212119597,4288.79115,91866.94499999999,106270,1.000872745892747,3282.7290465509263,3324.0357544965814,500,0.005
est_max,94.99771895,95.00475,1.4216461214628033,1.413584969999995,92.61299000000001,97.307565,1.0005608462541817,5047.432638803653,4817.448773932092,500,0.005
